question_id	exam_number	question_order	group_id	group_position	group_size	is_case_study	context	question_text	image_files	answer_count	correct_answer_letter	data_quality	source_row_index
019f4114-53f4-7a31-af72-af5f03ad8642	1	1	019f4114-53f4-7a31-af72-af5f03ad8642	1	1	false		Julie is a business analyst and has just received her performance appraisal. Her manager praised her for the confidence her stakeholders have in the process she uses for helping them select correct solutions on her projects. What competency is Julie being praised for?		4	a	ok	0
019f4114-6835-77f3-9dbe-f288540c2ffd	1	2	019f4114-6835-77f3-9dbe-f288540c2ffd	1	2	true	Your business analysis approach requires four reviews throughout the initiative in order to evaluate the content of various work products and to find defects early in the process. If each review is done separately, it would require two hours of review time. Russ, the project sponsor, is advocating for one rigorous review prior to the product's release as everyone is busy and unable to find common times for multiple reviews. He maintains the review could be done in six hours if it was all done at one time.	Which of the following might you suggest to the sponsor that might address both concerns?		4	d	ok	1
019f4114-7c51-73d1-8416-532546a989fc	1	3	019f4114-6835-77f3-9dbe-f288540c2ffd	2	2	true	Your business analysis approach requires four reviews throughout the initiative in order to evaluate the content of various work products and to find defects early in the process. If each review is done separately, it would require two hours of review time. Russ, the project sponsor, is advocating for one rigorous review prior to the product's release as everyone is busy and unable to find common times for multiple reviews. He maintains the review could be done in six hours if it was all done at one time.	If Russ is correct, what percentage of time would be saved?		4	c	ok	2
019f4114-9098-7973-b049-f3e7894918c0	1	4	019f4114-9098-7973-b049-f3e7894918c0	1	1	false		Marie is required to show how elements work in harmony with one another to support the business requirements, and to structure the elements in various ways to align the viewpoints of different stakeholders. What techniques would be useful?		4	c	ok	3
019f4114-a4cd-7250-b1b4-aded5bcb624a	1	5	019f4114-a4cd-7250-b1b4-aded5bcb624a	1	1	false		Neil is a business analyst for his organization and he is working with his stakeholders to maintain the requirements for an initiative. Which stakeholder will reference maintained requirements the most to ensure they are accurately reflecting stated needs?		4	b	ok	4
019f4114-b9bb-7e93-b284-4302938166c5	1	6	019f4114-b9bb-7e93-b284-4302938166c5	1	1	false		Larry and Janyce are Enterprise Analysts who have been assigned to a multi-million dollar system integration project that will merge a newly purchased company's system functionality into the current company platform. Because there are two more mergers planned for the near future, Larry and Janyce's manager has asked them to identify and document which requirements could be reused for future mergers and acquisitions. What technique might Janyce use for this task?		4	a	ok	5
019f4114-ce03-7553-ae2d-e4c0fa3fcb53	1	7	019f4114-ce03-7553-ae2d-e4c0fa3fcb53	1	1	false		You have been hired as the business analyst for an initiative. The project manager informs you that your first task is to figure out what needs to be done, how you will go about doing it, as well as exactly who needs to be involved with the work and how involved they should be. Which deliverable will you provide to the project manager as a result of these activities?		4	c	ok	6
019f4114-e292-7903-998a-c89553250cfb	1	8	019f4114-e292-7903-998a-c89553250cfb	1	1	false		Elements included in the plan business analysis approach task include which of the following?		4	a	ok	7
019f4114-f74d-7373-ac04-0f6a75183026	1	9	019f4114-f74d-7373-ac04-0f6a75183026	1	4	true	"Overview Belle's Bags is a rapidly growing online seller of handbags and purses, wallets, and accessories. Belle began making handbags as a hobby to sell at local art fairs. They were so popular, that she decided to become an entrepreneur and started selling through the internet. She has become so successful that she employs hundreds of people, including many working at the distribution center (DC) 24/7. Belle's sells to individuals and wholesale to a number of other retailers. Customers may be either individuals or businesses. An individual can also be a business. For example, Marisa Fortes might buy a purse for herself and a variety of product for her retail business. Most of the business customers are boutique retailers. Orders are placed online. There is no limit to the number of line items that can be placed on an order. An order really isn't an order unless at least one item has been ordered. Each line item is associated with a specific order. The Order system checks immediately to see if the item is in stock in the Inventory system. If in stock, the items on the order are reserved and immediately transmitted to the DC, where they are filled and shipped. If any of the items on the order are out of stock, that item is placed in a status of ""Open."" When the open item(s) is received in the DC, the Order system is updated immediately and the item is filled. The status of each item is updated along the way in a variety of systems, including the Order, Inventory, Accounting, Picking, and Shipping systems. When a customer inquires about the status of an order online, they must enter the order number and then the system checks the status of each order item on the order in each of the systems where it is stored. Once found, the system displays the status of the item. When the customer calls about the status of an order item, the CSR’s must check each system individually. From the CEO, Belle Bright: We're experiencing tremendous growing pains and our slow systems are not keeping up. We do care about customer service. The number of complaints has increased by about 10% over the last two years. Some of the comments on social media can be quite nasty. From the customer service supervisor, Dawn Murphy: Boy do we need new order processing software around here. We have a lot of customer complaints. For example, when customers would like to check their order status, it takes forever because the order system must request information from multiple systems, some of which are very slow. Sigh. From the VP of Finance, Oscar Coine: We need to create a link between our AP system and Invoicing. That must be our number one priority! We need to get into the 21st century. Let's get financial software like everyone else has. From the VP if Logistics, Peter Piquer: Although orders are sent to us immediately, we still have to manually create pick tickets to fill the order. These are actual pieces of paper. Do you believe that?! Getting everything online has to be our number one priority! We need to get into the 20th century. Let's get logistics software like everyone else has."	Which of these represents the best statement of business need?		4	c	ok	8
019f4115-0bfa-7652-a49f-e171807faca1	1	10	019f4114-f74d-7373-ac04-0f6a75183026	2	4	true	"Overview Belle's Bags is a rapidly growing online seller of handbags and purses, wallets, and accessories. Belle began making handbags as a hobby to sell at local art fairs. They were so popular, that she decided to become an entrepreneur and started selling through the internet. She has become so successful that she employs hundreds of people, including many working at the distribution center (DC) 24/7. Belle's sells to individuals and wholesale to a number of other retailers. Customers may be either individuals or businesses. An individual can also be a business. For example, Marisa Fortes might buy a purse for herself and a variety of product for her retail business. Most of the business customers are boutique retailers. Orders are placed online. There is no limit to the number of line items that can be placed on an order. An order really isn't an order unless at least one item has been ordered. Each line item is associated with a specific order. The Order system checks immediately to see if the item is in stock in the Inventory system. If in stock, the items on the order are reserved and immediately transmitted to the DC, where they are filled and shipped. If any of the items on the order are out of stock, that item is placed in a status of ""Open."" When the open item(s) is received in the DC, the Order system is updated immediately and the item is filled. The status of each item is updated along the way in a variety of systems, including the Order, Inventory, Accounting, Picking, and Shipping systems. When a customer inquires about the status of an order online, they must enter the order number and then the system checks the status of each order item on the order in each of the systems where it is stored. Once found, the system displays the status of the item. When the customer calls about the status of an order item, the CSR’s must check each system individually. From the CEO, Belle Bright: We're experiencing tremendous growing pains and our slow systems are not keeping up. We do care about customer service. The number of complaints has increased by about 10% over the last two years. Some of the comments on social media can be quite nasty. From the customer service supervisor, Dawn Murphy: Boy do we need new order processing software around here. We have a lot of customer complaints. For example, when customers would like to check their order status, it takes forever because the order system must request information from multiple systems, some of which are very slow. Sigh. From the VP of Finance, Oscar Coine: We need to create a link between our AP system and Invoicing. That must be our number one priority! We need to get into the 21st century. Let's get financial software like everyone else has. From the VP if Logistics, Peter Piquer: Although orders are sent to us immediately, we still have to manually create pick tickets to fill the order. These are actual pieces of paper. Do you believe that?! Getting everything online has to be our number one priority! We need to get into the 20th century. Let's get logistics software like everyone else has."	Which of these statements expresses the cardinality of the relationship according to the case study?		4	c	ok	9
